property_id,type,property_size,property_area,area_sqyd,price,purpose,built_in_year,parking_spaces,floors,bedrooms,bathrooms,servant_quarters,kitchens,store_rooms,state,city,area,tier,population,median_monthly_income
52201048-3052-1,House,Medium (250-500),10.9 Marla,329.725,38000000,For Sale,2018-01-01,,3,8,7,,3,1,Punjab,Rawalpindi,Bahria Town Rawalpindi,1,6120000,85000
52354140-3073-1,House,Medium (250-500),10 Marla,302.5,39000000,For Sale,2024-01-01,3,3,8,,1,3,2,Punjab,Rawalpindi,Bahria Town Rawalpindi,1,6120000,85000
52386496-14739-1,House,Medium (250-500),12 Marla,363,40000000,For Sale,2025-01-01,6,2,10,,2,3,2,Punjab,Rawalpindi,Gulshan Abad,1,6120000,85000
48283903-3041-1,House,Medium (250-500),10 Marla,302.5,39500000,For Sale,2019-01-01,2,2,5,6,1,2,1,Punjab,Rawalpindi,Bahria Town Rawalpindi,1,6120000,85000
51896108-6020-1,House,Small (100-250),4 Marla,121,8800000,For Sale,2024-01-01,,3,2,2,3,2,2,Punjab,Rawalpindi,Gulshan-e-Iqbal,1,6120000,85000
49795930-6020-1,House,Small (100-250),5 Marla,151.25,10000000,For Sale,2023-01-01,,3,3,3,,2,2,Punjab,Rawalpindi,Gulshan-e-Iqbal,1,6120000,85000
49794833-6020-1,House,Small (100-250),4 Marla,121,6900000,For Sale,2024-01-01,2,3,2,2,,,,Punjab,Rawalpindi,Gulshan-e-Iqbal,1,6120000,85000
48362011-6020-1,House,Tiny (<100),3.3 Marla,99.825,4900000,For Sale,2024-01-01,,2,3,2,1,2,1,Punjab,Rawalpindi,Gulshan-e-Iqbal,1,6120000,85000
52125638-6020-1,House,Small (100-250),5 Marla,151.25,10700000,For Sale,2024-01-01,,,3,3,,1,,Punjab,Rawalpindi,Gulshan-e-Iqbal,1,6120000,85000
52730642-3048-1,House,Medium (250-500),10 Marla,302.5,53000000,For Sale,2024-01-01,,,5,6,,,,Punjab,Rawalpindi,Bahria Town Rawalpindi,1,6120000,85000
52730369-3048-1,House,Medium (250-500),12 Marla,363,49500000,For Sale,2024-01-01,,,5,6,,,,Punjab,Rawalpindi,Bahria Town Rawalpindi,1,6120000,85000
52737655-3070-1,House,Small (100-250),5 Marla,151.25,21500000,For Sale,2024-01-01,,,3,4,,,,Punjab,Rawalpindi,Bahria Town Rawalpindi,1,6120000,85000
52664157-3048-1,House,Medium (250-500),10 Marla,302.5,35000000,For Sale,2024-01-01,2,2,5,6,1,2,1,Punjab,Rawalpindi,Bahria Town Rawalpindi,1,6120000,85000
52670075-3074-1,House,Small (100-250),7 Marla,211.75,36000000,For Sale,2024-01-01,2,2,5,6,,2,1,Punjab,Rawalpindi,Bahria Town Rawalpindi,1,6120000,85000
52426894-16391-1,House,Medium (250-500),10 Marla,302.5,63000000,For Sale,2024-01-01,2,2,6,6,1,2,1,Punjab,Rawalpindi,Media Town,1,6120000,85000
52387481-3074-1,House,Small (100-250),5 Marla,151.25,19500000,For Sale,2025-01-01,,2,4,6,,1,,Punjab,Rawalpindi,Bahria Town Rawalpindi,1,6120000,85000
48575743-3074-1,House,Small (100-250),5 Marla,151.25,17500000,For Sale,2023-01-01,,2,4,5,,1,,Punjab,Rawalpindi,Bahria Town Rawalpindi,1,6120000,85000
51987240-8301-1,House,Medium (250-500),13 Marla,393.25,69500000,For Sale,2024-01-01,2,2,5,6,1,2,1,Punjab,Rawalpindi,Bahria Town Rawalpindi,1,6120000,85000
52387173-8304-1,House,Large (500-1000),1.5 Kanal,907.5,145000000,For Sale,2025-01-01,4,2,5,6,1,2,1,Punjab,Rawalpindi,Bahria Town Rawalpindi,1,6120000,85000
52553338-8304-1,House,Large (500-1000),1 Kanal,605,115000000,For Sale,2025-01-01,3,2,6,7,1,2,1,Punjab,Rawalpindi,Bahria Town Rawalpindi,1,6120000,85000
52574061-3047-1,House,Medium (250-500),10 Marla,302.5,53000000,For Sale,2025-01-01,3,2,5,6,1,2,1,Punjab,Rawalpindi,Bahria Town Rawalpindi,1,6120000,85000
52574089-8301-1,House,Medium (250-500),14 Marla,423.5,69000000,For Sale,2025-01-01,3,2,5,6,1,2,1,Punjab,Rawalpindi,Bahria Town Rawalpindi,1,6120000,85000
52626965-426-1,House,Small (100-250),6 Marla,181.5,17500000,For Sale,2008-01-01,,2,3,3,,1,,Punjab,Rawalpindi,Airport Housing Society,1,6120000,85000
52724349-11748-1,House,Small (100-250),5 Marla,151.25,12800000,For Sale,2024-01-01,,,3,4,,1,,Punjab,Rawalpindi,Adiala Road,1,6120000,85000
